iter	Passed	Remaining
0	2	296
1	4	240
2	6	206
3	7	185
4	9	177
5	11	173
6	12	167
7	14	161
8	15	160
9	17	156
10	18	151
11	20	148
12	21	144
13	22	140
14	24	136
15	25	132
16	26	129
17	27	125
18	28	122
19	30	120
20	31	118
21	33	117
22	34	116
23	36	114
24	37	113
25	39	111
26	40	109
27	42	108
28	43	106
29	44	104
30	46	103
31	47	101
32	48	99
33	50	97
34	51	95
35	52	93
36	54	91
37	55	90
38	56	88
39	58	87
40	59	85
41	59	82
42	61	80
43	62	79
44	63	77
45	64	75
46	65	74
47	67	72
48	68	71
49	69	69
50	71	68
51	73	67
52	74	66
53	75	64
54	76	62
55	78	61
56	79	59
57	80	58
58	81	56
59	82	55
60	84	53
61	85	52
62	86	51
63	88	49
64	89	48
65	90	46
66	91	45
67	92	43
68	94	42
69	95	40
70	96	39
71	97	38
72	98	36
73	100	35
74	101	33
75	103	32
76	104	31
77	106	29
78	107	28
79	108	27
80	110	25
81	111	24
82	112	23
83	114	21
84	115	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	123	12
91	125	10
92	126	9
93	127	8
94	128	6
95	130	5
96	131	4
97	132	2
98	133	1
99	134	0
